ID	Gene Name	Species	GOTERM_BP_DIRECT
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1(PKHD1L1)	Homo sapiens	GO:0006955~immune response,
KCTD8	potassium channel tetramerization domain containing 8(KCTD8)	Homo sapiens	GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,GO:0051260~protein homooligomerization,
KCNK10	potassium two pore domain channel subfamily K member 10(KCNK10)	Homo sapiens	GO:0006810~transport,GO:0007165~signal transduction,GO:0007613~memory,GO:0030322~stabilization of membrane potential,GO:0034765~regulation of ion transmembrane transport,GO:0071805~potassium ion transmembrane transport,
KCNK15	potassium two pore domain channel subfamily K member 15(KCNK15)	Homo sapiens	GO:0030322~stabilization of membrane potential,GO:0034765~regulation of ion transmembrane transport,GO:0061337~cardiac conduction,GO:0071805~potassium ion transmembrane transport,
KCNIP1	potassium voltage-gated channel interacting protein 1(KCNIP1)	Homo sapiens	GO:0061337~cardiac conduction,GO:0071805~potassium ion transmembrane transport,GO:1901379~regulation of potassium ion transmembrane transport,
KCNS2	potassium voltage-gated channel modifier subfamily S member 2(KCNS2)	Homo sapiens	GO:0006813~potassium ion transport,GO:0051260~protein homooligomerization,GO:0071805~potassium ion transmembrane transport,GO:1902259~regulation of delayed rectifier potassium channel activity,
KCNA4	potassium voltage-gated channel subfamily A member 4(KCNA4)	Homo sapiens	GO:0006813~potassium ion transport,GO:0034765~regulation of ion transmembrane transport,GO:0051260~protein homooligomerization,GO:0071805~potassium ion transmembrane transport,
KCND2	potassium voltage-gated channel subfamily D member 2(KCND2)	Homo sapiens	GO:0001508~action potential,GO:0007268~chemical synaptic transmission,GO:0019228~neuronal action potential,GO:0019233~sensory perception of pain,GO:0034765~regulation of ion transmembrane transport,GO:0045475~locomotor rhythm,GO:0051260~protein homooligomerization,GO:0061337~cardiac conduction,GO:0071456~cellular response to hypoxia,GO:0071805~potassium ion transmembrane transport,
KCNE1B	potassium voltage-gated channel subfamily E regulatory subunit 1B(KCNE1B)	Homo sapiens	GO:0071805~potassium ion transmembrane transport,
KCNJ1	potassium voltage-gated channel subfamily J member 1(KCNJ1)	Homo sapiens	GO:0006813~potassium ion transport,GO:0007588~excretion,GO:0010107~potassium ion import,GO:0034765~regulation of ion transmembrane transport,
KCNJ10	potassium voltage-gated channel subfamily J member 10(KCNJ10)	Homo sapiens	GO:0006813~potassium ion transport,GO:0007601~visual perception,GO:0007628~adult walking behavior,GO:0010107~potassium ion import,GO:0022010~central nervous system myelination,GO:0034765~regulation of ion transmembrane transport,GO:0048169~regulation of long-term neuronal synaptic plasticity,GO:0051935~glutamate reuptake,GO:0055075~potassium ion homeostasis,GO:0060075~regulation of resting membrane potential,
KCNJ13	potassium voltage-gated channel subfamily J member 13(KCNJ13)	Homo sapiens	GO:0006813~potassium ion transport,GO:0010107~potassium ion import,GO:0034765~regulation of ion transmembrane transport,
PSG5	pregnancy specific beta-1-glycoprotein 5(PSG5)	Homo sapiens	GO:0007565~female pregnancy,
PRR15	proline rich 15(PRR15)	Homo sapiens	GO:0007275~multicellular organism development,
PROX1	prospero homeobox 1(PROX1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001709~cell fate determination,GO:0001822~kidney development,GO:0001889~liver development,GO:0001938~positive regulation of endothelial cell proliferation,GO:0001946~lymphangiogenesis,GO:0002088~lens development in camera-type eye,GO:0002194~hepatocyte cell migration,GO:0006351~transcription, DNA-templated,GO:0007420~brain development,GO:0007623~circadian rhythm,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0010468~regulation of gene expression,GO:0010595~positive regulation of endothelial cell migration,GO:0021516~dorsal spinal cord development,GO:0021542~dentate gyrus development,GO:0021707~cerebellar granule cell differentiation,GO:0021915~neural tube development,GO:0030182~neuron differentiation,GO:0030240~skeletal muscle thin filament assembly,GO:0030324~lung development,GO:0030910~olfactory placode formation,GO:0031016~pancreas development,GO:0031667~response to nutrient levels,GO:0042752~regulation of circadian rhythm,GO:0043049~otic placode formation,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045071~negative regulation of viral genome replication,GO:0045737~positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045787~positive regulation of cell cycle,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046619~optic placode formation involved in camera-type eye formation,GO:0048845~venous blood vessel morphogenesis,GO:0055005~ventricular cardiac myofibril assembly,GO:0055007~cardiac muscle cell differentiation,GO:0055009~atrial cardiac muscle tissue morphogenesis,GO:0055010~ventricular cardiac muscle tissue morphogenesis,GO:0060042~retina morphogenesis in camera-type eye,GO:0060059~embryonic retina morphogenesis in camera-type eye,GO:0060214~endocardium formation,GO:0060298~positive regulation of sarcomere organization,GO:0060412~ventricular septum morphogenesis,GO:0060414~aorta smooth muscle tissue morphogenesis,GO:0060421~positive regulation of heart growth,GO:0060836~lymphatic endothelial cell differentiation,GO:0060849~regulation of transcription involved in lymphatic endothelial cell fate commitment,GO:0061114~branching involved in pancreas morphogenesis,GO:0070309~lens fiber cell morphogenesis,GO:0070365~hepatocyte differentiation,GO:0070858~negative regulation of bile acid biosynthetic process,GO:0072574~hepatocyte proliferation,GO:0090425~acinar cell differentiation,GO:0097150~neuronal stem cell population maintenance,GO:1901978~positive regulation of cell cycle checkpoint,GO:2000179~positive regulation of neural precursor cell proliferation,GO:2000979~positive regulation of forebrain neuron differentiation,
PTGDS	prostaglandin D2 synthase(PTGDS)	Homo sapiens	GO:0001516~prostaglandin biosynthetic process,GO:0006629~lipid metabolic process,GO:0006810~transport,GO:0019371~cyclooxygenase pathway,GO:0045187~regulation of circadian sleep/wake cycle, sleep,GO:0051384~response to glucocorticoid,GO:2000255~negative regulation of male germ cell proliferation,
PTGER1	prostaglandin E receptor 1(PTGER1)	Homo sapiens	GO:0006954~inflammatory response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0032496~response to lipopolysaccharide,
PROC	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	Homo sapiens	GO:0006465~signal peptide processing,GO:0006508~proteolysis,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007596~blood coagulation,GO:0017187~peptidyl-glutamic acid carboxylation,GO:0030195~negative regulation of blood coagulation,GO:0043066~negative regulation of apoptotic process,GO:0050728~negative regulation of inflammatory response,GO:0050819~negative regulation of coagulation,GO:0050900~leukocyte migration,GO:1903142~positive regulation of establishment of endothelial barrier,
PROZ	protein Z, vitamin K dependent plasma glycoprotein(PROZ)	Homo sapiens	GO:0006465~signal peptide processing,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007596~blood coagulation,GO:0017187~peptidyl-glutamic acid carboxylation,
PTPRO	protein tyrosine phosphatase, receptor type O(PTPRO)	Homo sapiens	GO:0000902~cell morphogenesis,GO:0002548~monocyte chemotaxis,GO:0003093~regulation of glomerular filtration,GO:0003105~negative regulation of glomerular filtration,GO:0006470~protein dephosphorylation,GO:0007411~axon guidance,GO:0010812~negative regulation of cell-substrate adhesion,GO:0010977~negative regulation of neuron projection development,GO:0030032~lamellipodium assembly,GO:0032835~glomerulus development,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0036060~slit diaphragm assembly,GO:0072112~glomerular visceral epithelial cell differentiation,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090260~negative regulation of retinal ganglion cell axon guidance,
PTPRQ	protein tyrosine phosphatase, receptor type Q(PTPRQ)	Homo sapiens	GO:0002244~hematopoietic progenitor cell differentiation,GO:0030154~cell differentiation,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0042472~inner ear morphogenesis,GO:0045598~regulation of fat cell differentiation,GO:0046856~phosphatidylinositol dephosphorylation,GO:0050885~neuromuscular process controlling balance,GO:0050910~detection of mechanical stimulus involved in sensory perception of sound,GO:0060116~vestibular receptor cell morphogenesis,
PLP1	proteolipid protein 1(PLP1)	Homo sapiens	GO:0006954~inflammatory response,GO:0007229~integrin-mediated signaling pathway,GO:0007268~chemical synaptic transmission,GO:0008366~axon ensheathment,GO:0010628~positive regulation of gene expression,GO:0014002~astrocyte development,GO:0021762~substantia nigra development,GO:0022010~central nervous system myelination,GO:0042759~long-chain fatty acid biosynthetic process,GO:0048469~cell maturation,GO:0061564~axon development,
PCDH15	protocadherin related 15(PCDH15)	Homo sapiens	GO:0001964~startle response,GO:0002009~morphogenesis of an epithelium,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007601~visual perception,GO:0007605~sensory perception of sound,GO:0007628~adult walking behavior,GO:0035058~nonmotile primary cilium assembly,GO:0035264~multicellular organism growth,GO:0045494~photoreceptor cell maintenance,GO:0048839~inner ear development,GO:0050910~detection of mechanical stimulus involved in sensory perception of sound,GO:0050953~sensory perception of light stimulus,GO:0050957~equilibrioception,GO:0050973~detection of mechanical stimulus involved in equilibrioception,GO:0051017~actin filament bundle assembly,GO:0051592~response to calcium ion,GO:0060013~righting reflex,GO:0060088~auditory receptor cell stereocilium organization,
P2RX2	purinergic receptor P2X 2(P2RX2)	Homo sapiens	GO:0001666~response to hypoxia,GO:0003029~detection of hypoxic conditions in blood by carotid body chemoreceptor signaling,GO:0007274~neuromuscular synaptic transmission,GO:0007528~neuromuscular junction development,GO:0007596~blood coagulation,GO:0007605~sensory perception of sound,GO:0009743~response to carbohydrate,GO:0010524~positive regulation of calcium ion transport into cytosol,GO:0014832~urinary bladder smooth muscle contraction,GO:0030432~peristalsis,GO:0033198~response to ATP,GO:0035590~purinergic nucleotide receptor signaling pathway,GO:0048266~behavioral response to pain,GO:0048741~skeletal muscle fiber development,GO:0050850~positive regulation of calcium-mediated signaling,GO:0050909~sensory perception of taste,GO:0051260~protein homooligomerization,GO:0098655~cation transmembrane transport,
RASD1	ras related dexamethasone induced 1(RASD1)	Homo sapiens	GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007263~nitric oxide mediated signal transduction,GO:0007264~small GTPase mediated signal transduction,GO:0045892~negative regulation of transcription, DNA-templated,
RAMP1	receptor activity modifying protein 1(RAMP1)	Homo sapiens	GO:0001525~angiogenesis,GO:0006816~calcium ion transport,GO:0006886~intracellular protein transport,GO:0007186~G-protein coupled receptor signaling pathway,GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,GO:0015031~protein transport,GO:0030819~positive regulation of cAMP biosynthetic process,GO:0031623~receptor internalization,GO:0060050~positive regulation of protein glycosylation,GO:0072659~protein localization to plasma membrane,
RPRM	reprimo, TP53 dependent G2 arrest mediator candidate(RPRM)	Homo sapiens	GO:0007050~cell cycle arrest,GO:0007346~regulation of mitotic cell cycle,
RBP2	retinol binding protein 2(RBP2)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0006776~vitamin A metabolic process,GO:0006810~transport,GO:0008544~epidermis development,
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0007601~visual perception,GO:0042572~retinol metabolic process,GO:0045494~photoreceptor cell maintenance,GO:0050896~response to stimulus,GO:0055114~oxidation-reduction process,
RDH8	retinol dehydrogenase 8 (all-trans)(RDH8)	Homo sapiens	GO:0006694~steroid biosynthetic process,GO:0006703~estrogen biosynthetic process,GO:0007601~visual perception,GO:0042572~retinol metabolic process,GO:0050896~response to stimulus,GO:0055114~oxidation-reduction process,
RNF212B	ring finger protein 212B(RNF212B)	Homo sapiens	GO:0007129~synapsis,GO:0016925~protein sumoylation,
RIPPLY1	ripply transcriptional repressor 1(RIPPLY1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001757~somite specification,GO:0006351~transcription, DNA-templated,GO:0007219~Notch signaling pathway,GO:0009880~embryonic pattern specification,GO:0032525~somite rostral/caudal axis specification,GO:0045892~negative regulation of transcription, DNA-templated,GO:0060349~bone morphogenesis,
SGCZ	sarcoglycan zeta(SGCZ)	Homo sapiens	GO:0007517~muscle organ development,GO:0046716~muscle cell cellular homeostasis,GO:0048738~cardiac muscle tissue development,GO:0055001~muscle cell development,GO:0060047~heart contraction,GO:0061024~membrane organization,
SCEL	sciellin(SCEL)	Homo sapiens	GO:0008544~epidermis development,GO:0009790~embryo development,GO:0030216~keratinocyte differentiation,
SOST	sclerostin(SOST)	Homo sapiens	GO:0001503~ossification,GO:0009612~response to mechanical stimulus,GO:0016055~Wnt signaling pathway,GO:0030279~negative regulation of ossification,GO:0030514~negative regulation of BMP signaling pathway,GO:0031333~negative regulation of protein complex assembly,GO:0045893~positive regulation of transcription, DNA-templated,GO:0071374~cellular response to parathyroid hormone stimulus,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:2000054~negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification,
SFRP1	secreted frizzled related protein 1(SFRP1)	Homo sapiens	GO:0001649~osteoblast differentiation,GO:0001657~ureteric bud development,GO:0001954~positive regulation of cell-matrix adhesion,GO:0002244~hematopoietic progenitor cell differentiation,GO:0006508~proteolysis,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007275~multicellular organism development,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008584~male gonad development,GO:0008585~female gonad development,GO:0009267~cellular response to starvation,GO:0009950~dorsal/ventral axis specification,GO:0010564~regulation of cell cycle process,GO:0010629~negative regulation of gene expression,GO:0010719~negative regulation of epithelial to mesenchymal transition,GO:0010975~regulation of neuron projection development,GO:0014034~neural crest cell fate commitment,GO:0014070~response to organic cyclic compound,GO:0022601~menstrual cycle phase,GO:0030177~positive regulation of Wnt signaling pathway,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030279~negative regulation of ossification,GO:0030307~positive regulation of cell growth,GO:0030308~negative regulation of cell growth,GO:0030336~negative regulation of cell migration,GO:0030514~negative regulation of BMP signaling pathway,GO:0033689~negative regulation of osteoblast proliferation,GO:0035019~somatic stem cell population maintenance,GO:0042493~response to drug,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043508~negative regulation of JUN kinase activity,GO:0043547~positive regulation of GTPase activity,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0044345~stromal-epithelial cell signaling involved in prostate gland development,GO:0045578~negative regulation of B cell differentiation,GO:0045600~positive regulation of fat cell differentiation,GO:0045668~negative regulation of osteoblast differentiation,GO:0045671~negative regulation of osteoclast differentiation,GO:0045765~regulation of angiogenesis,GO:0045880~positive regulation of smoothened signaling pathway,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046676~negative regulation of insulin secretion,GO:0046851~negative regulation of bone remodeling,GO:0048147~negative regulation of fibroblast proliferation,GO:0048546~digestive tract morphogenesis,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050732~negative regulation of peptidyl-tyrosine phosphorylation,GO:0051496~positive regulation of stress fiber assembly,GO:0051894~positive regulation of focal adhesion assembly,GO:0060070~canonical Wnt signaling pathway,GO:0060218~hematopoietic stem cell differentiation,GO:0060346~bone trabecula formation,GO:0060527~prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,GO:0060687~regulation of branching involved in prostate gland morphogenesis,GO:0060766~negative regulation of androgen receptor signaling pathway,GO:0071305~cellular response to vitamin D,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071363~cellular response to growth factor stimulus,GO:0071380~cellular response to prostaglandin E stimulus,GO:0071391~cellular response to estrogen stimulus,GO:0071392~cellular response to estradiol stimulus,GO:0071456~cellular response to hypoxia,GO:0071481~cellular response to X-ray,GO:0071504~cellular response to heparin,GO:0071542~dopaminergic neuron differentiation,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0071773~cellular response to BMP stimulus,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090179~planar cell polarity pathway involved in neural tube closure,GO:0090244~Wnt signaling pathway involved in somitogenesis,GO:0090246~convergent extension involved in somitogenesis,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1904956~regulation of midbrain dopaminergic neuron differentiation,GO:2000041~negative regulation of planar cell polarity pathway involved in axis elongation,GO:2000052~positive regulation of non-canonical Wnt signaling pathway,GO:2000054~negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification,GO:2000080~negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation,GO:2000270~negative regulation of fibroblast apoptotic process,GO:2000271~positive regulation of fibroblast apoptotic process,
SEZ6L	seizure related 6 homolog like(SEZ6L)	Homo sapiens	GO:0008344~adult locomotory behavior,GO:0021680~cerebellar Purkinje cell layer development,GO:0060074~synapse maturation,GO:0090036~regulation of protein kinase C signaling,
SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)(SPINK13)	Homo sapiens	GO:0060046~regulation of acrosome reaction,GO:1900004~negative regulation of serine-type endopeptidase activity,GO:1902225~negative regulation of acrosome reaction,
SERPINA5	serpin family A member 5(SERPINA5)	Homo sapiens	GO:0006869~lipid transport,GO:0007283~spermatogenesis,GO:0007342~fusion of sperm to egg plasma membrane,GO:0007596~blood coagulation,GO:0010951~negative regulation of endopeptidase activity,GO:0051346~negative regulation of hydrolase activity,
SERPINC1	serpin family C member 1(SERPINC1)	Homo sapiens	GO:0002438~acute inflammatory response to antigenic stimulus,GO:0007584~response to nutrient,GO:0007595~lactation,GO:0007596~blood coagulation,GO:0010951~negative regulation of endopeptidase activity,GO:2000266~regulation of blood coagulation, intrinsic pathway,
SERPIND1	serpin family D member 1(SERPIND1)	Homo sapiens	GO:0006935~chemotaxis,GO:0007596~blood coagulation,GO:0008218~bioluminescence,GO:0010951~negative regulation of endopeptidase activity,
SHISA3	shisa family member 3(SHISA3)	Homo sapiens	GO:0007275~multicellular organism development,
SIAH3	siah E3 ubiquitin protein ligase family member 3(SIAH3)	Homo sapiens	GO:0006915~apoptotic process,GO:0007275~multicellular organism development,GO:0031647~regulation of protein stability,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:1903215~negative regulation of protein targeting to mitochondrion,
SCUBE3	signal peptide, CUB domain and EGF like domain containing 3(SCUBE3)	Homo sapiens	GO:0051260~protein homooligomerization,GO:0051291~protein heterooligomerization,
STAP1	signal transducing adaptor family member 1(STAP1)	Homo sapiens	GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0009967~positive regulation of signal transduction,GO:0010628~positive regulation of gene expression,GO:0010760~negative regulation of macrophage chemotaxis,GO:0042326~negative regulation of phosphorylation,GO:0050861~positive regulation of B cell receptor signaling pathway,GO:0060100~positive regulation of phagocytosis, engulfment,GO:0071222~cellular response to lipopolysaccharide,GO:1900028~negative regulation of ruffle assembly,GO:1902227~negative regulation of macrophage colony-stimulating factor signaling pathway,GO:1903980~positive regulation of microglial cell activation,GO:1903997~positive regulation of non-membrane spanning protein tyrosine kinase activity,GO:1904140~negative regulation of microglial cell migration,GO:1904151~positive regulation of microglial cell mediated cytotoxicity,GO:2000251~positive regulation of actin cytoskeleton reorganization,
SIM2	single-minded family bHLH transcription factor 2(SIM2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007399~nervous system development,GO:0009880~embryonic pattern specification,GO:0030154~cell differentiation,GO:0030324~lung development,
SCNN1B	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens	GO:0006814~sodium ion transport,GO:0007588~excretion,GO:0034220~ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0050891~multicellular organismal water homeostasis,GO:0050896~response to stimulus,GO:0050909~sensory perception of taste,GO:0055078~sodium ion homeostasis,
SCNN1G	sodium channel epithelial 1 gamma subunit(SCNN1G)	Homo sapiens	GO:0006814~sodium ion transport,GO:0007588~excretion,GO:0034220~ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0050891~multicellular organismal water homeostasis,GO:0050896~response to stimulus,GO:0050909~sensory perception of taste,GO:0055078~sodium ion homeostasis,
SCN7A	sodium voltage-gated channel alpha subunit 7(SCN7A)	Homo sapiens	GO:0006814~sodium ion transport,GO:0006936~muscle contraction,GO:0019228~neuronal action potential,GO:0034765~regulation of ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0055078~sodium ion homeostasis,GO:0060078~regulation of postsynaptic membrane potential,GO:0086010~membrane depolarization during action potential,
SLC1A7	solute carrier family 1 member 7(SLC1A7)	Homo sapiens	GO:0006811~ion transport,GO:0006835~dicarboxylic acid transport,GO:0014047~glutamate secretion,GO:0089711~L-glutamate transmembrane transport,
SLC12A1	solute carrier family 12 member 1(SLC12A1)	Homo sapiens	GO:0006810~transport,GO:0006811~ion transport,GO:0006813~potassium ion transport,GO:0006814~sodium ion transport,GO:0034220~ion transmembrane transport,GO:0055085~transmembrane transport,GO:1902476~chloride transmembrane transport,
SLC12A3	solute carrier family 12 member 3(SLC12A3)	Homo sapiens	GO:0006810~transport,GO:0006811~ion transport,GO:0006814~sodium ion transport,GO:0035725~sodium ion transmembrane transport,GO:1902476~chloride transmembrane transport,
SLC13A1	solute carrier family 13 member 1(SLC13A1)	Homo sapiens	GO:0006814~sodium ion transport,GO:0008272~sulfate transport,GO:0035725~sodium ion transmembrane transport,GO:0055085~transmembrane transport,GO:1902358~sulfate transmembrane transport,
SLC13A2	solute carrier family 13 member 2(SLC13A2)	Homo sapiens	GO:0006810~transport,GO:0006814~sodium ion transport,GO:0006835~dicarboxylic acid transport,GO:0055085~transmembrane transport,
SLC13A3	solute carrier family 13 member 3(SLC13A3)	Homo sapiens	GO:0006814~sodium ion transport,GO:0015746~citrate transport,GO:0055085~transmembrane transport,GO:0071422~succinate transmembrane transport,
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)	Homo sapiens	GO:0006833~water transport,GO:0015840~urea transport,GO:0055085~transmembrane transport,GO:0071918~urea transmembrane transport,
SLC14A2	solute carrier family 14 member 2(SLC14A2)	Homo sapiens	GO:0009414~response to water deprivation,GO:0015840~urea transport,GO:0055085~transmembrane transport,GO:0071918~urea transmembrane transport,
SLC22A13	solute carrier family 22 member 13(SLC22A13)	Homo sapiens	GO:0015695~organic cation transport,GO:0015747~urate transport,GO:0055085~transmembrane transport,GO:2001142~nicotinate transport,
SLC22A7	solute carrier family 22 member 7(SLC22A7)	Homo sapiens	GO:0015711~organic anion transport,GO:0055085~transmembrane transport,GO:0098656~anion transmembrane transport,
SLC22A8	solute carrier family 22 member 8(SLC22A8)	Homo sapiens	GO:0009636~response to toxic substance,GO:0015698~inorganic anion transport,GO:0043252~sodium-independent organic anion transport,GO:0098656~anion transmembrane transport,
SLC24A2	solute carrier family 24 member 2(SLC24A2)	Homo sapiens	GO:0006811~ion transport,GO:0006813~potassium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0007601~visual perception,GO:0007612~learning,GO:0007613~memory,GO:0034220~ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0050896~response to stimulus,GO:0060291~long-term synaptic potentiation,GO:0060292~long term synaptic depression,GO:0070588~calcium ion transmembrane transport,
SLC26A4	solute carrier family 26 member 4(SLC26A4)	Homo sapiens	GO:0006811~ion transport,GO:0006885~regulation of pH,GO:0007605~sensory perception of sound,GO:0008272~sulfate transport,GO:0015698~inorganic anion transport,GO:0015701~bicarbonate transport,GO:0015705~iodide transport,GO:0019532~oxalate transport,GO:0032880~regulation of protein localization,GO:0042391~regulation of membrane potential,GO:0051453~regulation of intracellular pH,GO:1902358~sulfate transmembrane transport,GO:1902476~chloride transmembrane transport,
SLC28A2	solute carrier family 28 member 2(SLC28A2)	Homo sapiens	GO:0006139~nucleobase-containing compound metabolic process,GO:0015860~purine nucleoside transmembrane transport,
SLC30A2	solute carrier family 30 member 2(SLC30A2)	Homo sapiens	GO:0010043~response to zinc ion,GO:0061090~positive regulation of sequestering of zinc ion,GO:0071577~zinc II ion transmembrane transport,
SLC30A8	solute carrier family 30 member 8(SLC30A8)	Homo sapiens	GO:0006829~zinc II ion transport,GO:0006882~cellular zinc ion homeostasis,GO:0009749~response to glucose,GO:0010043~response to zinc ion,GO:0030073~insulin secretion,GO:0032024~positive regulation of insulin secretion,GO:0032119~sequestering of zinc ion,GO:0034341~response to interferon-gamma,GO:0042593~glucose homeostasis,GO:0060627~regulation of vesicle-mediated transport,GO:0061088~regulation of sequestering of zinc ion,GO:0070555~response to interleukin-1,GO:0071577~zinc II ion transmembrane transport,
SLC34A1	solute carrier family 34 member 1(SLC34A1)	Homo sapiens	GO:0001503~ossification,GO:0001822~kidney development,GO:0006817~phosphate ion transport,GO:0009100~glycoprotein metabolic process,GO:0010288~response to lead ion,GO:0030643~cellular phosphate ion homeostasis,GO:0032026~response to magnesium ion,GO:0032355~response to estradiol,GO:0033189~response to vitamin A,GO:0035435~phosphate ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0035864~response to potassium ion,GO:0042431~indole metabolic process,GO:0042493~response to drug,GO:0044267~cellular protein metabolic process,GO:0044341~sodium-dependent phosphate transport,GO:0045838~positive regulation of membrane potential,GO:0046686~response to cadmium ion,GO:0046689~response to mercury ion,GO:0051260~protein homooligomerization,GO:0055062~phosphate ion homeostasis,GO:0060416~response to growth hormone,GO:0071248~cellular response to metal ion,GO:0071374~cellular response to parathyroid hormone stimulus,GO:0072350~tricarboxylic acid metabolic process,GO:0072734~cellular response to staurosporine,GO:0097066~response to thyroid hormone,GO:0097187~dentinogenesis,GO:1901128~gentamycin metabolic process,GO:1901684~arsenate ion transmembrane transport,GO:2000120~positive regulation of sodium-dependent phosphate transport,GO:2000187~positive regulation of phosphate transmembrane transport,
SLC34A3	solute carrier family 34 member 3(SLC34A3)	Homo sapiens	GO:0006814~sodium ion transport,GO:0006817~phosphate ion transport,GO:0030643~cellular phosphate ion homeostasis,GO:0035435~phosphate ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0044341~sodium-dependent phosphate transport,
SLC36A2	solute carrier family 36 member 2(SLC36A2)	Homo sapiens	GO:0006811~ion transport,GO:0006865~amino acid transport,GO:0015808~L-alanine transport,GO:0015816~glycine transport,GO:0015824~proline transport,GO:0035524~proline transmembrane transport,GO:1902600~hydrogen ion transmembrane transport,
SLC38A3	solute carrier family 38 member 3(SLC38A3)	Homo sapiens	GO:0006814~sodium ion transport,GO:0006865~amino acid transport,GO:0006867~asparagine transport,GO:0006868~glutamine transport,GO:0007420~brain development,GO:0007565~female pregnancy,GO:0015808~L-alanine transport,GO:0015817~histidine transport,GO:0051365~cellular response to potassium ion starvation,GO:0061402~positive regulation of transcription from RNA polymerase II promoter in response to acidic pH,GO:0089709~L-histidine transmembrane transport,GO:2000487~positive regulation of glutamine transport,
SLC4A11	solute carrier family 4 member 11(SLC4A11)	Homo sapiens	GO:0006814~sodium ion transport,GO:0015701~bicarbonate transport,GO:0015992~proton transport,GO:0030003~cellular cation homeostasis,GO:0035445~borate transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0042044~fluid transport,GO:0046713~borate transport,GO:0051453~regulation of intracellular pH,
