ID	Gene Name	Species	GOTERM_CC_DIRECT
SLC5A11	solute carrier family 5 member 11(SLC5A11)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
SLC5A2	solute carrier family 5 member 2(SLC5A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
SLC5A7	solute carrier family 5 member 7(SLC5A7)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043204~perikaryon,GO:0045202~synapse,GO:0098793~presynapse,
SLC6A15	solute carrier family 6 member 15(SLC6A15)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
SLC6A17	solute carrier family 6 member 17(SLC6A17)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0008021~synaptic vesicle,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,
SLC6A2	solute carrier family 6 member 2(SLC6A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043005~neuron projection,GO:0045121~membrane raft,
SLC7A13	solute carrier family 7 member 13(SLC7A13)	Homo sapiens	GO:0005887~integral component of plasma membrane,
SLC7A4	solute carrier family 7 member 4(SLC7A4)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,
SLC7A8	solute carrier family 7 member 8(SLC7A8)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0070062~extracellular exosome,
SLC9A4	solute carrier family 9 member A4(SLC9A4)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,
SLCO1A2	solute carrier organic anion transporter family member 1A2(SLCO1A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,
SALL3	spalt like transcription factor 3(SALL3)	Homo sapiens	GO:0005634~nucleus,
SPTBN2	spectrin beta, non-erythrocytic 2(SPTBN2)	Homo sapiens	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0008091~spectrin,GO:0016324~apical plasma membrane,GO:0030054~cell junction,GO:0043025~neuronal cell body,
SPSB4	splA/ryanodine receptor domain and SOCS box containing 4(SPSB4)	Homo sapiens	GO:0005737~cytoplasm,
STRA6	stimulated by retinoic acid 6(STRA6)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0043234~protein complex,
SBSN	suprabasin(SBSN)	Homo sapiens	GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,
SFTA2	surfactant associated 2(SFTA2)	Homo sapiens	GO:0005576~extracellular region,GO:0005794~Golgi apparatus,GO:0030133~transport vesicle,
SYNGR3	synaptogyrin 3(SYNGR3)	Homo sapiens	GO:0008021~synaptic vesicle,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,GO:0031594~neuromuscular junction,
SYT1	synaptotagmin 1(SYT1)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,GO:0031045~dense core granule,GO:0031201~SNARE complex,GO:0042584~chromaffin granule membrane,GO:0042734~presynaptic membrane,GO:0043005~neuron projection,GO:0043195~terminal bouton,GO:0060076~excitatory synapse,GO:0060201~clathrin-sculpted acetylcholine transport vesicle membrane,GO:0060203~clathrin-sculpted glutamate transport vesicle membrane,GO:0061202~clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane,GO:0070083~clathrin-sculpted monoamine transport vesicle membrane,
SYT14	synaptotagmin 14(SYT14)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
SYBU	syntabulin(SYBU)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005856~cytoskeleton,GO:0005874~microtubule,GO:0016021~integral component of membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0031410~cytoplasmic vesicle,GO:0031982~vesicle,GO:0043231~intracellular membrane-bounded organelle,GO:0097433~dense body,
TACR3	tachykinin receptor 3(TACR3)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0032590~dendrite membrane,GO:0032809~neuronal cell body membrane,
TNMD	tenomodulin(TNMD)	Homo sapiens	GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0016021~integral component of membrane,
TNS4	tensin 4(TNS4)	Homo sapiens	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005925~focal adhesion,
TDGF1P3	teratocarcinoma-derived growth factor 1 pseudogene 3(TDGF1P3)	Homo sapiens	GO:0005886~plasma membrane,GO:0009279~cell outer membrane,
TDGF1	teratocarcinoma-derived growth factor 1(TDGF1)	Homo sapiens	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0019897~extrinsic component of plasma membrane,GO:0031225~anchored component of membrane,GO:0045121~membrane raft,
TCEAL2	transcription elongation factor A like 2(TCEAL2)	Homo sapiens	GO:0005634~nucleus,
TCF21	transcription factor 21(TCF21)	Homo sapiens	GO:0005634~nucleus,
TCF24	transcription factor 24(TCF24)	Homo sapiens	GO:0005634~nucleus,
TFAP2B	transcription factor AP-2 beta(TFAP2B)	Homo sapiens	GO:0005634~nucleus,
TBL1Y	transducin beta like 1, Y-linked(TBL1Y)	Homo sapiens	GO:0000118~histone deacetylase complex,
TAGLN3	transgelin 3(TAGLN3)	Homo sapiens	GO:0005634~nucleus,GO:0043209~myelin sheath,
TRPM6	transient receptor potential cation channel subfamily M member 6(TRPM6)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,
TRPV5	transient receptor potential cation channel subfamily V member 5(TRPV5)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,
TRPV6	transient receptor potential cation channel subfamily V member 6(TRPV6)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
TMPRSS4	transmembrane protease, serine 4(TMPRSS4)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,
TMEM207	transmembrane protein 207(TMEM207)	Homo sapiens	GO:0016021~integral component of membrane,
TMEM35A	transmembrane protein 35A(TMEM35A)	Homo sapiens	GO:0005778~peroxisomal membrane,GO:0016021~integral component of membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0031410~cytoplasmic vesicle,
TMEM38A	transmembrane protein 38A(TMEM38A)	Homo sapiens	GO:0016021~integral component of membrane,GO:0031965~nuclear membrane,GO:0033017~sarcoplasmic reticulum membrane,GO:0070062~extracellular exosome,
TMEM52B	transmembrane protein 52B(TMEM52B)	Homo sapiens	GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
TMEM72	transmembrane protein 72(TMEM72)	Homo sapiens	GO:0016021~integral component of membrane,
TRIM63	tripartite motif containing 63(TRIM63)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005874~microtubule,GO:0030018~Z disc,GO:0031430~M band,
TNNC1	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005861~troponin complex,GO:0015629~actin cytoskeleton,GO:0043292~contractile fiber,
TNNI1	troponin I1, slow skeletal type(TNNI1)	Homo sapiens	GO:0005829~cytosol,GO:0005861~troponin complex,
TNNI2	troponin I2, fast skeletal type(TNNI2)	Homo sapiens	GO:0005634~nucleus,GO:0005829~cytosol,GO:0005861~troponin complex,
TNNT2	troponin T2, cardiac type(TNNT2)	Homo sapiens	GO:0005829~cytosol,GO:0005861~troponin complex,GO:0005865~striated muscle thin filament,GO:0030017~sarcomere,
TACSTD2	tumor-associated calcium signal transducer 2(TACSTD2)	Homo sapiens	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005829~cytosol,GO:0005887~integral component of plasma membrane,GO:0009925~basal plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016328~lateral plasma membrane,GO:0070062~extracellular exosome,
TYRP1	tyrosinase related protein 1(TYRP1)	Homo sapiens	GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0030669~clathrin-coated endocytic vesicle membrane,GO:0033162~melanosome membrane,GO:0042470~melanosome,
USP44	ubiquitin specific peptidase 44(USP44)	Homo sapiens	GO:0005634~nucleus,GO:0005730~nucleolus,GO:0015630~microtubule cytoskeleton,
UNC13C	unc-13 homolog C(UNC13C)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0030054~cell junction,GO:0042734~presynaptic membrane,GO:0043195~terminal bouton,GO:0048786~presynaptic active zone,
UNC5D	unc-5 netrin receptor D(UNC5D)	Homo sapiens	GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,
UPP2	uridine phosphorylase 2(UPP2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0045098~type III intermediate filament,
UMOD	uromodulin(UMOD)	Homo sapiens	GO:0000922~spindle pole,GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005929~cilium,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0019898~extrinsic component of membrane,GO:0031225~anchored component of membrane,GO:0060170~ciliary membrane,GO:0070062~extracellular exosome,GO:0072372~primary cilium,
VGLL1	vestigial like family member 1(VGLL1)	Homo sapiens	GO:0005634~nucleus,
VTN	vitronectin(VTN)	Homo sapiens	GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005796~Golgi lumen,GO:0031012~extracellular matrix,GO:0048237~rough endoplasmic reticulum lumen,GO:0070062~extracellular exosome,GO:0071062~alphav-beta3 integrin-vitronectin complex,GO:0072562~blood microparticle,
VWA2	von Willebrand factor A domain containing 2(VWA2)	Homo sapiens	GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0070062~extracellular exosome,
VWA5B1	von Willebrand factor A domain containing 5B1(VWA5B1)	Homo sapiens	GO:0005576~extracellular region,
VWC2	von Willebrand factor C domain containing 2(VWC2)	Homo sapiens	GO:0005604~basement membrane,GO:0005614~interstitial matrix,GO:0005615~extracellular space,GO:0030054~cell junction,GO:0032281~AMPA glutamate receptor complex,GO:0045202~synapse,
VWDE	von Willebrand factor D and EGF domains(VWDE)	Homo sapiens	GO:0005576~extracellular region,
ZNF488	zinc finger protein 488(ZNF488)	Homo sapiens	GO:0005634~nucleus,
ZNF536	zinc finger protein 536(ZNF536)	Homo sapiens	GO:0005634~nucleus,
ZNF750	zinc finger protein 750(ZNF750)	Homo sapiens	GO:0005634~nucleus,GO:0005730~nucleolus,GO:0043231~intracellular membrane-bounded organelle,
