ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
SLC2A12	solute carrier family 2 member 12(SLC2A12)	Homo sapiens				GO:0015992~proton transport,GO:0046323~glucose import,GO:1904659~glucose transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0012505~endomembrane system,GO:0048471~perinuclear region of cytoplasm,	GO:0005351~sugar:proton symporter activity,GO:0005355~glucose transmembrane transporter activity,GO:0055056~D-glucose transmembrane transporter activity,	IPR003663:Sugar/inositol transporter,IPR005828:General substrate transporter,IPR005829:Sugar transporter, conserved site,IPR020846:Major facilitator superfamily domain,					Complete proteome,Cytoplasm,Glycoprotein,Membrane,Reference proteome,Sugar transport,Transmembrane,Transmembrane helix,Transport,	chain:Solute carrier family 2, facilitated glucose transporter member 12,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC26A7	solute carrier family 26 member 7(SLC26A7)	Homo sapiens				GO:0001696~gastric acid secretion,GO:0006811~ion transport,GO:0006820~anion transport,GO:0006821~chloride transport,GO:0008272~sulfate transport,GO:0015701~bicarbonate transport,GO:0019532~oxalate transport,GO:0042391~regulation of membrane potential,GO:0051453~regulation of intracellular pH,GO:1902358~sulfate transmembrane transport,GO:1902476~chloride transmembrane transport,	GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0055038~recycling endosome membrane,	GO:0005254~chloride channel activity,GO:0008271~secondary active sulfate transmembrane transporter activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0015116~sulfate transmembrane transporter activity,GO:0015301~anion:anion antiporter activity,GO:0019531~oxalate transmembrane transporter activity,	IPR001902:Sulphate anion transporter,IPR002645:STAS domain,IPR011547:Sulphate transporter,	hsa04971:Gastric acid secretion,				Alternative splicing,Anion exchange,Complete proteome,Endosome,Ion transport,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Anion exchange transporter,domain:STAS,region of interest:Membrane targeting,sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC30A2	solute carrier family 30 member 2(SLC30A2)	Homo sapiens				GO:0010043~response to zinc ion,GO:0061090~positive regulation of sequestering of zinc ion,GO:0071577~zinc II ion transmembrane transport,	GO:0005737~cytoplasm,GO:0005765~lysosomal membrane,GO:0005770~late endosome,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,	GO:0005385~zinc ion transmembrane transporter activity,GO:0005515~protein binding,	IPR002524:Cation efflux protein,IPR027469:Cation efflux protein transmembrane domain,		608118~Zinc deficiency, transient neonatal,			Alternative splicing,Complete proteome,Disease mutation,Ion transport,Lysosome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport,Vacuole,Zinc,Zinc transport,	chain:Zinc transporter 2,topological domain:Cytoplasmic,topological domain:Vacuolar,transmembrane region,
SLC34A2	solute carrier family 34 member 2(SLC34A2)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0006817~phosphate ion transport,GO:0030643~cellular phosphate ion homeostasis,GO:0035435~phosphate ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0043627~response to estrogen,GO:0044267~cellular protein metabolic process,GO:0044341~sodium-dependent phosphate transport,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005903~brush border,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,GO:0031982~vesicle,	GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0005436~sodium:phosphate symporter activity,GO:0015321~sodium-dependent phosphate transmembrane transporter activity,GO:0031402~sodium ion binding,GO:0042301~phosphate ion binding,	IPR003841:Sodium-dependent phosphate transport protein,		265100~Pulmonary alveolar microlithiasis,610441~Testicular microlithiasis,			Alternative splicing,Complete proteome,Disease mutation,Disulfide bond,Glycoprotein,Ion transport,Membrane,Polymorphism,Proteomics identification,Reference proteome,Sodium,Sodium transport,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium-dependent phosphate transport protein 2B,compositionally biased region:Cys-rich,compositionally biased region:Poly-Thr,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC36A2	solute carrier family 36 member 2(SLC36A2)	Homo sapiens				GO:0006811~ion transport,GO:0006865~amino acid transport,GO:0015808~L-alanine transport,GO:0015816~glycine transport,GO:0015824~proline transport,GO:0035524~proline transmembrane transport,GO:1902600~hydrogen ion transmembrane transport,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005280~hydrogen:amino acid symporter activity,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0015171~amino acid transmembrane transporter activity,GO:0015180~L-alanine transmembrane transporter activity,GO:0015187~glycine transmembrane transporter activity,GO:0015193~L-proline transmembrane transporter activity,	IPR013057:Amino acid transporter, transmembrane,		138500~Hyperglycinuria,242600~Iminoglycinuria, digenic,			Alternative splicing,Amino-acid transport,Cell membrane,Complete proteome,Cytoplasm,Disease mutation,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Proton-coupled amino acid transporter 2,sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC4A11	solute carrier family 4 member 11(SLC4A11)	Homo sapiens				GO:0006814~sodium ion transport,GO:0015701~bicarbonate transport,GO:0015992~proton transport,GO:0030003~cellular cation homeostasis,GO:0035445~borate transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0042044~fluid transport,GO:0046713~borate transport,GO:0051453~regulation of intracellular pH,	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,	GO:0005272~sodium channel activity,GO:0005452~inorganic anion exchanger activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0015252~hydrogen ion channel activity,GO:0015293~symporter activity,GO:0015301~anion:anion antiporter activity,GO:0046715~borate transmembrane transporter activity,GO:0046983~protein dimerization activity,	IPR002178:Phosphotransferase system, phosphoenolpyruvate-dependent sugar EIIA 2,IPR003020:Bicarbonate transporter, eukaryotic,IPR011531:Bicarbonate transporter, C-terminal,IPR016152:Phosphotransferase/anion transporter,		217400~Corneal endothelial dystrophy and perceptive deafness,217700~Corneal endothelial dystrophy 2, autosomal recessive,613268~Corneal dystrophy, Fuchs endothelial, 4,			Alternative splicing,Anion exchange,Cell membrane,Complete proteome,Corneal dystrophy,Deafness,Disease mutation,Glycoprotein,Ion transport,Membrane,Polymorphism,Proteomics identification,Reference proteome,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium bicarbonate transporter-like protein 11,glycosylation site:N-linked (GlcNAc...),region of interest:Membrane (bicarbonate transporter),sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC4A9	solute carrier family 4 member 9(SLC4A9)	Homo sapiens				GO:0015698~inorganic anion transport,GO:0015701~bicarbonate transport,GO:0035725~sodium ion transmembrane transport,GO:0051453~regulation of intracellular pH,GO:0098656~anion transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0045177~apical part of cell,	GO:0005452~inorganic anion exchanger activity,GO:0008509~anion transmembrane transporter activity,GO:0008510~sodium:bicarbonate symporter activity,GO:0015301~anion:anion antiporter activity,	IPR003020:Bicarbonate transporter, eukaryotic,IPR003024:Sodium bicarbonate cotransporter,IPR011531:Bicarbonate transporter, C-terminal,IPR013769:Band 3 cytoplasmic domain,IPR016152:Phosphotransferase/anion transporter,					Alternative splicing,Anion exchange,Antiport,Complete proteome,Disulfide bond,Glycoprotein,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Anion exchange protein 4,glycosylation site:N-linked (GlcNAc...),modified residue,region of interest:Membrane (anion exchange),sequence conflict,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC52A1	solute carrier family 52 member 1(SLC52A1)	Homo sapiens				GO:0032218~riboflavin transport,GO:0046718~viral entry into host cell,	GO:0005887~integral component of plasma membrane,	GO:0001618~virus receptor activity,GO:0032217~riboflavin transporter activity,	IPR009357:Endogenous retrovirus receptor,		615026~Riboflavin deficiency,			Alternative splicing,Cell membrane,Complete proteome,Glycoprotein,Host cell receptor for virus entry,Membrane,Polymorphism,Receptor,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Porcine endogenous retrovirus A receptor 2,compositionally biased region:Poly-Glu,sequence variant,signal peptide,transmembrane region,
SLC9A2	solute carrier family 9 member A2(SLC9A2)	Homo sapiens				GO:0006811~ion transport,GO:0008104~protein localization,GO:0051453~regulation of intracellular pH,GO:0071805~potassium ion transmembrane transport,GO:0098719~sodium ion import across plasma membrane,GO:1902600~hydrogen ion transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015385~sodium:proton antiporter activity,GO:0015386~potassium:proton antiporter activity,	IPR001953:Na+/H+ exchanger, isoform 2 (NHE2),IPR004709:Na+/H+ exchanger,IPR006153:Cation/H+ exchanger,IPR018422:Cation/H+ exchanger, CPA1 family,					Antiport,Complete proteome,Glycoprotein,Ion transport,Membrane,Phosphoprotein,Polymorphism,Reference proteome,Sodium,Sodium transport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium/hydrogen exchanger 2,glycosylation site:N-linked (GlcNAc...),region of interest:A (M1) hydrophobic,region of interest:B (M2) hydrophobic,region of interest:L, hydrophobic,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SLC9C2	solute carrier family 9 member C2 (putative)(SLC9C2)	Homo sapiens			Inorganic ion transport and metabolism,	GO:0051453~regulation of intracellular pH,GO:0071805~potassium ion transmembrane transport,GO:0098719~sodium ion import across plasma membrane,GO:1902600~hydrogen ion transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015299~solute:proton antiporter activity,GO:0015385~sodium:proton antiporter activity,GO:0015386~potassium:proton antiporter activity,	IPR000595:Cyclic nucleotide-binding domain,IPR006153:Cation/H+ exchanger,IPR014710:RmlC-like jelly roll fold,IPR018422:Cation/H+ exchanger, CPA1 family,IPR018490:Cyclic nucleotide-binding-like,IPR027359:Voltage-dependent potassium channel, four helix bundle domain,					Antiport,Complete proteome,Glycoprotein,Ion transport,Membrane,Polymorphism,Reference proteome,Sodium,Sodium transport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium/hydrogen exchanger 11,glycosylation site:N-linked (GlcNAc...),nucleotide phosphate-binding region:cNMP,region of interest:Ion transport-like,sequence variant,transmembrane region,
SLCO1A2	solute carrier organic anion transporter family member 1A2(SLCO1A2)	Homo sapiens				GO:0006811~ion transport,GO:0008206~bile acid metabolic process,GO:0015711~organic anion transport,GO:0015721~bile acid and bile salt transport,GO:0043252~sodium-independent organic anion transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005215~transporter activity,GO:0008514~organic anion transmembrane transporter activity,GO:0015125~bile acid transmembrane transporter activity,GO:0015347~sodium-independent organic anion transmembrane transporter activity,	IPR002350:Kazal domain,IPR004156:Organic anion transporter polypeptide OATP,IPR020846:Major facilitator superfamily domain,	hsa04976:Bile secretion,				Alternative splicing,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Ion transport,Membrane,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Solute carrier organic anion transporter family member 1A2,domain:Kazal-like,glycosylation site:N-linked (GlcNAc...),sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SSTR5	somatostatin receptor 5(SSTR5)	Homo sapiens				GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007268~chemical synaptic transmission,GO:0008285~negative regulation of cell proliferation,GO:0032467~positive regulation of cytokinesis,GO:0038170~somatostatin signaling pathway,GO:0042593~glucose homeostasis,GO:0050796~regulation of insulin secretion,GO:0071385~cellular response to glucocorticoid stimulus,	GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0043005~neuron projection,	GO:0004994~somatostatin receptor activity,GO:0042923~neuropeptide binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000586:Somatostatin receptor family,IPR001184:Somatostatin receptor 5,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,	Somatostatin analog, resistance to~Somatostatin analog, resistance to,		SM01381:SM01381,	Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Glycoprotein,Lipoprotein,Membrane,Palmitate,Phosphoprotein,Polymorphism,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:Somatostatin receptor type 5,disulfide bond,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:S-palmitoyl cysteine,modified residue,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
SPTBN2	spectrin beta, non-erythrocytic 2(SPTBN2)	Homo sapiens				GO:0000165~MAPK cascade,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007010~cytoskeleton organization,GO:0007411~axon guidance,GO:0007416~synapse assembly,GO:0016192~vesicle-mediated transport,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0021692~cerebellar Purkinje cell layer morphogenesis,GO:0030534~adult behavior,GO:0035264~multicellular organism growth,GO:0043547~positive regulation of GTPase activity,GO:0051693~actin filament capping,GO:0098609~cell-cell adhesion,	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0008091~spectrin,GO:0016324~apical plasma membrane,GO:0030054~cell junction,GO:0043025~neuronal cell body,	GO:0003779~actin binding,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005200~structural constituent of cytoskeleton,GO:0005543~phospholipid binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR001589:Actinin-type, actin-binding, conserved site,IPR001605:Pleckstrin homology domain, spectrin-type,IPR001715:Calponin homology domain,IPR001849:Pleckstrin homology domain,IPR002017:Spectrin repeat,IPR011993:Pleckstrin homology-like domain,IPR016343:Spectrin, beta subunit,IPR018159:Spectrin/alpha-actinin,		600224~Spinocerebellar ataxia 5,615386~Spinocerebellar ataxia, autosomal recessive 14,	PIRSF002297:spectrin, beta subunit,	SM00033:CH,SM00150:SPEC,SM00233:PH,	3D-structure,Acetylation,Actin capping,Actin-binding,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Neurodegeneration,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Spinocerebellar ataxia,	chain:Spectrin beta chain, brain 2,domain:Actin-binding,domain:CH 1,domain:CH 2,domain:PH,helix,modified residue,repeat:Spectrin 1,repeat:Spectrin 10,repeat:Spectrin 11,repeat:Spectrin 12,repeat:Spectrin 13,repeat:Spectrin 14,repeat:Spectrin 15,repeat:Spectrin 16,repeat:Spectrin 17,repeat:Spectrin 2,repeat:Spectrin 3,repeat:Spectrin 4,repeat:Spectrin 5,repeat:Spectrin 6,repeat:Spectrin 7,repeat:Spectrin 8,repeat:Spectrin 9,sequence variant,splice variant,strand,turn,
SULT2B1	sulfotransferase family 2B member 1(SULT2B1)	Homo sapiens				GO:0000103~sulfate assimilation,GO:0008202~steroid metabolic process,GO:0050427~3'-phosphoadenosine 5'-phosphosulfate metabolic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0004027~alcohol sulfotransferase activity,GO:0005515~protein binding,GO:0050294~steroid sulfotransferase activity,	IPR000863:Sulfotransferase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00140:Steroid hormone biosynthesis,				3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Endoplasmic reticulum,Lipid metabolism,Microsome,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Steroid metabolism,Transferase,	active site:Proton acceptor,binding site:PAPS,chain:Sulfotransferase family cytosolic 2B member 1,compositionally biased region:Pro-rich,helix,mutagenesis site,nucleotide phosphate-binding region:PAPS,sequence conflict,sequence variant,splice variant,strand,turn,
SYN2	synapsin II(SYN2)	Homo sapiens				GO:0007268~chemical synaptic transmission,GO:0007269~neurotransmitter secretion,	GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,GO:0031201~SNARE complex,GO:0043209~myelin sheath,GO:0045202~synapse,	GO:0003824~catalytic activity,GO:0005524~ATP binding,	IPR001359:Synapsin,IPR013815:ATP-grasp fold, subdomain 1,IPR013816:ATP-grasp fold, subdomain 2,IPR016185:Pre-ATP-grasp domain,IPR019735:Synapsin, conserved site,IPR019736:Synapsin, phosphorylation site,IPR020897:Synapsin, pre-ATP-grasp domain,IPR020898:Synapsin, ATP-binding domain,		181500~Schizophrenia, susceptibility to,			Alternative splicing,Cell junction,Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Synapse,	chain:Synapsin-2,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,modified residue,region of interest:A,region of interest:B; linker,region of interest:C; actin-binding and synaptic-vesicle binding,region of interest:E,region of interest:G; Pro-rich linker,region of interest:H; Pro/Ser-rich linker,sequence conflict,sequence variant,splice variant,
SYT3	synaptotagmin 3(SYT3)	Homo sapiens				GO:0006906~vesicle fusion,GO:0017156~calcium ion regulated exocytosis,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,GO:1903861~positive regulation of dendrite extension,	GO:0005768~endosome,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030658~transport vesicle membrane,GO:0070382~exocytic vesicle,GO:0098793~presynapse,	GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR001565:Synaptotagmin,				SM00239:C2,	Calcium,Cell membrane,Complete proteome,Cytoplasmic vesicle,Differentiation,Disulfide bond,Membrane,Metal-binding,Methylation,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,	chain:Synaptotagmin-3,domain:C2 1,domain:C2 2,metal ion-binding site:Calcium 1,metal ion-binding site:Calcium 1; via carbonyl oxygen,metal ion-binding site:Calcium 2,metal ion-binding site:Calcium 3,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Vesicular,transmembrane region,
SYT5	synaptotagmin 5(SYT5)	Homo sapiens				GO:0006906~vesicle fusion,GO:0007268~chemical synaptic transmission,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0048488~synaptic vesicle endocytosis,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,GO:0031045~dense core granule,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0048471~perinuclear region of cytoplasm,GO:0055038~recycling endosome membrane,	GO:0001786~phosphatidylserine binding,GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,GO:0046982~protein heterodimerization activity,	IPR000008:C2 calcium-dependent membrane targeting,IPR001565:Synaptotagmin,				SM00239:C2,	Alternative splicing,Calcium,Cell junction,Complete proteome,Cytoplasmic vesicle,Endosome,Membrane,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Synapse,Transmembrane,Transmembrane helix,	chain:Synaptotagmin-5,domain:C2 1,domain:C2 2,metal ion-binding site:Calcium 1,metal ion-binding site:Calcium 1; via carbonyl oxygen,metal ion-binding site:Calcium 2,metal ion-binding site:Calcium 2; via carbonyl oxygen,metal ion-binding site:Calcium 3,modified residue,sequence variant,topological domain:Cytoplasmic,topological domain:Vesicular,transmembrane region,
SYT7	synaptotagmin 7(SYT7)	Homo sapiens				GO:0001778~plasma membrane repair,GO:0006887~exocytosis,GO:0006906~vesicle fusion,GO:0006909~phagocytosis,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0036465~synaptic vesicle recycling,GO:0045956~positive regulation of calcium ion-dependent exocytosis,GO:0046850~regulation of bone remodeling,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,GO:0050764~regulation of phagocytosis,GO:0050796~regulation of insulin secretion,GO:0070092~regulation of glucagon secretion,GO:0090119~vesicle-mediated cholesterol transport,GO:0090385~phagosome-lysosome fusion,GO:1990926~short-term synaptic potentiation,GO:1990927~calcium ion regulated lysosome exocytosis,	GO:0005764~lysosome,GO:0005765~lysosomal membrane,GO:0005777~peroxisome,GO:0005778~peroxisomal membrane,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030670~phagocytic vesicle membrane,GO:0030672~synaptic vesicle membrane,GO:0031045~dense core granule,GO:0032009~early phagosome,GO:0042734~presynaptic membrane,GO:0043195~terminal bouton,GO:0070062~extracellular exosome,	GO:0001786~phosphatidylserine binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005544~calcium-dependent phospholipid binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR001565:Synaptotagmin,IPR015427:Synaptotagmin 7,				SM00239:C2,	3D-structure,Alternative splicing,Calcium,Calmodulin-binding,Cell junction,Cell membrane,Complete proteome,Cytoplasmic vesicle,Exocytosis,Lipoprotein,Lysosome,Membrane,Metal-binding,Palmitate,Peroxisome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Synapse,Transmembrane,Transmembrane helix,	chain:Synaptotagmin-17,chain:Synaptotagmin-7,compositionally biased region:Cys-rich,domain:C2 1,domain:C2 2,helix,metal ion-binding site:Calcium 1,metal ion-binding site:Calcium 2,metal ion-binding site:Calcium 3,modified residue,sequence conflict,sequence variant,strand,topological domain:Cytoplasmic,topological domain:Vesicular,transmembrane region,turn,
TNS4	tensin 4(TNS4)	Homo sapiens				GO:0006915~apoptotic process,GO:0008104~protein localization,	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005925~focal adhesion,	GO:0003779~actin binding,GO:0005515~protein binding,	IPR000980:SH2 domain,IPR006020:Phosphotyrosine interaction domain,IPR011993:Pleckstrin homology-like domain,IPR013625:Tensin phosphotyrosine-binding domain,				SM00252:SH2,SM00462:PTB,	Actin-binding,Apoptosis,Cell junction,Complete proteome,Cytoplasm,Cytoskeleton,Phosphoprotein,Polymorphism,Reference proteome,SH2 domain,Signal,	chain:Tensin-4,compositionally biased region:Ser-rich,domain:Phosphatase tensin-type,domain:SH2,modified residue,mutagenesis site,sequence conflict,sequence variant,signal peptide,site:Cleavage; by caspase-3,
TF	transferrin(TF)	Homo sapiens	98.Dietary_Fat_and_Gene_Transcription,	h_eea1Pathway:The role of FYVE-finger proteins in vesicle transport,		GO:0001895~retina homeostasis,GO:0002576~platelet degranulation,GO:0006879~cellular iron ion homeostasis,GO:0031647~regulation of protein stability,GO:0033572~transferrin transport,GO:0048260~positive regulation of receptor-mediated endocytosis,GO:0055072~iron ion homeostasis,GO:0071281~cellular response to iron ion,GO:0097460~ferrous iron import into cell,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005769~early endosome,GO:0005770~late endosome,GO:0005905~clathrin-coated pit,GO:0009925~basal plasma membrane,GO:0009986~cell surface,GO:0010008~endosome membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0016324~apical plasma membrane,GO:0030120~vesicle coat,GO:0030139~endocytic vesicle,GO:0031232~extrinsic component of external side of plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0031982~vesicle,GO:0034774~secretory granule lumen,GO:0045178~basal part of cell,GO:0048471~perinuclear region of cytoplasm,GO:0055037~recycling endosome,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,GO:0097433~dense body,GO:1990712~HFE-transferrin receptor complex,	GO:0005515~protein binding,GO:0008198~ferrous iron binding,GO:0008199~ferric iron binding,GO:0015091~ferric iron transmembrane transporter activity,GO:1990459~transferrin receptor binding,	IPR001156:Transferrin family,IPR016357:Transferrin,IPR018195:Transferrin family, iron binding site,	hsa04066:HIF-1 signaling pathway,hsa04978:Mineral absorption,	209300~Atransferrinemia,	PIRSF002549:transferrin,PIRSF500682:serotransferrin  [Parent=PIRSF002549],	SM00094:TR_FER,	3D-structure,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Ion transport,Iron,Iron transport,Metal-binding,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,Transport,	binding site:Carbonate 1,binding site:Carbonate 1; via amide nitrogen,binding site:Carbonate 2,binding site:Carbonate 2; via amide nitrogen,chain:Serotransferrin,disulfide bond,domain:Transferrin-like 1,domain:Transferrin-like 2,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (GalNAc...),helix,metal ion-binding site:Iron 1,metal ion-binding site:Iron 2,modified residue,sequence conflict,sequence variant,signal peptide,strand,turn,
TMC3	transmembrane channel like 3(TMC3)	Homo sapiens				GO:0006811~ion transport,	GO:0016021~integral component of membrane,		IPR012496:TMC,					Alternative splicing,Complete proteome,Glycoprotein,Ion channel,Ion transport,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Transmembrane channel-like protein 3,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
